iter	Passed	Remaining
404	8183	12023
405	8198	11995
406	8214	11968
407	8230	11941
408	8246	11915
409	8261	11888
410	8276	11861
411	8292	11834
412	8307	11808
413	8323	11781
414	8342	11759
415	8360	11737
416	8378	11714
417	8395	11689
418	8411	11663
419	8427	11637
420	8442	11611
421	8459	11586
422	8475	11560
423	8490	11534
424	8506	11508
425	8522	11483
426	8538	11458
427	8557	11436
428	8578	11417
429	8599	11399
430	8615	11374
431	8631	11348
432	8647	11323
433	8663	11298
434	8678	11271
435	8693	11245
436	8708	11220
437	8724	11194
438	8740	11170
439	8756	11144
440	8774	11122
441	8795	11103
442	8812	11080
443	8830	11058
444	8846	11033
445	8862	11008
446	8877	10983
447	8893	10958
448	8909	10932
449	8924	10907
450	8939	10881
451	8954	10856
452	8971	10832
453	8987	10808
454	9007	10788
455	9025	10767
456	9044	10747
457	9061	10723
458	9077	10699
459	9093	10674
460	9108	10650
461	9124	10626
462	9147	10609
463	9163	10585
464	9179	10561
465	9196	10538
466	9215	10518
467	9237	10500
468	9252	10475
469	9268	10451
470	9283	10426
471	9299	10402
472	9314	10378
473	9330	10354
474	9345	10329
475	9361	10305
476	9376	10281
477	9392	10256
478	9407	10232
479	9426	10212
480	9448	10194
481	9499	10209
482	9555	10228
483	9601	10236
484	9648	10245
485	9666	10223
486	9685	10202
487	9708	10185
488	9728	10165
489	9744	10141
490	9760	10118
491	9776	10094
492	9792	10070
493	9808	10046
494	9824	10022
495	9839	9998
496	9857	9976
497	9877	9956
498	9898	9938
499	9915	9915
500	9936	9896
501	9954	9875
502	9971	9852
503	9987	9829
504	10003	9805
505	10020	9782
506	10035	9758
507	10051	9735
508	10068	9712
509	10087	9691
510	10107	9671
511	10129	9654
512	10147	9632
513	10163	9610
514	10179	9586
515	10195	9563
516	10211	9539
517	10227	9516
518	10243	9493
519	10259	9470
520	10275	9447
521	10296	9428
522	10316	9409
523	10334	9388
524	10351	9365
525	10366	9342
526	10382	9318
527	10397	9295
528	10413	9271
529	10430	9249
530	10446	9226
531	10461	9203
532	10477	9180
533	10497	9160
534	10516	9140
535	10535	9120
536	10552	9097
537	10567	9074
538	10583	9051
539	10598	9028
540	10614	9005
541	10631	8983
542	10648	8961
543	10664	8939
544	10679	8916
545	10698	8896
546	10717	8875
547	10736	8855
548	10753	8834
549	10769	8811
550	10785	8788
551	10801	8766
552	10815	8742
553	10830	8719
554	10845	8696
555	10861	8673
556	10876	8650
557	10892	8627
558	10909	8606
559	10929	8587
560	10946	8566
561	10966	8546
562	10981	8524
563	10997	8501
564	11014	8479
565	11029	8456
566	11043	8433
567	11059	8411
568	11074	8388
569	11090	8366
570	11105	8343
571	11124	8323
572	11143	8304
573	11163	8284
574	11183	8266
575	11199	8244
576	11215	8222
577	11231	8200
578	11246	8177
579	11263	8156
580	11278	8134
581	11294	8111
582	11310	8089
583	11325	8067
584	11346	8049
585	11365	8029
586	11382	8008
587	11400	7987
588	11417	7966
589	11432	7944
590	11448	7922
591	11463	7900
592	11479	7878
593	11496	7858
594	11512	7836
595	11529	7815
596	11548	7795
597	11568	7776
598	11587	7756
599	11602	7735
600	11618	7713
601	11634	7691
602	11650	7670
603	11667	7649
604	11683	7628
605	11700	7607
606	11716	7585
607	11732	7564
608	11752	7545
609	11771	7525
610	11791	7506
611	11807	7485
612	11823	7464
613	11839	7442
614	11854	7421
615	11870	7399
616	11887	7379
617	11904	7358
618	11924	7339
619	11944	7321
620	11963	7301
621	11982	7281
622	12000	7261
623	12016	7240
624	12032	7219
625	12047	7197
626	12062	7176
627	12077	7154
628	12093	7133
629	12111	7113
630	12127	7091
631	12142	7070
632	12161	7051
633	12180	7031
634	12198	7011
635	12218	6992
636	12234	6972
637	12250	6951
638	12266	6930
639	12282	6908
640	12298	6887
641	12314	6866
642	12330	6845
643	12345	6824
644	12361	6803
645	12379	6784
646	12401	6766
647	12419	6746
648	12495	6757
649	12531	6747
650	12565	6736
651	12609	6730
652	12632	6713
653	12651	6693
654	12671	6674
655	12691	6655
656	12707	6634
657	12723	6613
658	12738	6591
659	12754	6570
660	12769	6549
661	12785	6527
662	12800	6506
663	12818	6486
664	12838	6467
665	12857	6447
666	12876	6428
667	12892	6407
668	12908	6386
669	12924	6365
670	12939	6344
671	12954	6323
672	12969	6301
673	12984	6280
674	12999	6259
675	13014	6237
676	13030	6216
677	13049	6197
678	13067	6177
679	13090	6160
680	13109	6141
681	13125	6120
682	13142	6099
683	13157	6078
684	13172	6057
685	13188	6036
686	13203	6015
687	13219	5994
688	13236	5974
689	13255	5955
690	13273	5935
691	13292	5916
692	13310	5896
693	13326	5876
694	13342	5855
695	13357	5834
696	13373	5813
697	13389	5793
698	13404	5772
699	13420	5751
700	13436	5731
701	13456	5712
702	13475	5692
703	13496	5674
704	13511	5653
705	13526	5632
706	13543	5612
707	13558	5592
708	13574	5571
709	13590	5550
710	13605	5530
711	13621	5509
712	13637	5489
713	13656	5470
714	13675	5450
715	13694	5431
716	13710	5411
717	13727	5391
718	13742	5370
719	13758	5350
720	13774	5330
721	13797	5312
722	13817	5293
723	13837	5275
724	13859	5257
725	13884	5240
726	13925	5229
727	13952	5213
728	13975	5195
