iter	Logloss
0	0.6800801553
1	0.6672640258
2	0.6542491247
3	0.6424177041
4	0.6309384575
5	0.6178099458
6	0.6067387074
7	0.5963350331
8	0.5863271474
9	0.5765251771
10	0.5671654296
11	0.5581950789
12	0.5494415471
13	0.5406387611
14	0.5324164357
15	0.5246839582
16	0.5170423754
17	0.5096553983
18	0.5024345445
19	0.4956148684
20	0.4889440517
21	0.4825963641
22	0.4755846842
23	0.4696409316
24	0.4636070988
25	0.4579333045
26	0.4523339869
27	0.4468912677
28	0.4416292727
29	0.4364848989
30	0.4317953435
31	0.4268701072
32	0.4225419689
33	0.4182053082
34	0.4140028121
35	0.4099120154
36	0.4054034662
37	0.4012871337
38	0.3973226371
39	0.3938785059
40	0.3899730393
41	0.3864359454
42	0.3827250205
43	0.3791336279
44	0.3759662229
45	0.3728009171
46	0.3699279409
47	0.367121201
48	0.362449599
49	0.3599696855
50	0.357412162
51	0.354973137
52	0.3524333789
53	0.3501376675
54	0.3474310967
55	0.344890806
56	0.3426826994
57	0.3403163651
58	0.3382780792
59	0.3350224113
60	0.3328325714
61	0.3312533964
62	0.3294739772
63	0.3275552237
64	0.3254899607
65	0.3237949191
66	0.32220036
67	0.3203142546
68	0.3177054717
69	0.3162514689
70	0.3142326715
71	0.3128155154
72	0.3106707312
73	0.3089626555
74	0.3075683092
75	0.3063319713
76	0.3037835969
77	0.3019005307
78	0.3006483387
79	0.2986194524
80	0.2973270612
81	0.2964035441
82	0.2946158846
83	0.2933728103
84	0.2921673346
85	0.2912390864
86	0.2903473088
87	0.2894518341
88	0.288501152
89	0.2875245269
90	0.2865826805
91	0.2857155927
92	0.284791543
93	0.2839063452
94	0.2823908686
95	0.2812924238
96	0.2806296221
97	0.2790840353
98	0.2778028296
99	0.2772146613
100	0.2763698821
101	0.2756377109
102	0.2750048628
103	0.2741640628
104	0.2734853756
105	0.2723009239
106	0.2715321253
107	0.2709449596
108	0.2701808608
109	0.2695191558
110	0.2689431756
111	0.2684185177
112	0.2679105598
113	0.2672970124
114	0.2660326948
115	0.2653506551
116	0.2646485628
117	0.2638698946
118	0.2633221448
119	0.262718655
120	0.2621167945
121	0.2615025264
122	0.2610141198
123	0.2604451268
124	0.2597269924
125	0.2592072379
126	0.2582127377
127	0.2574136722
128	0.2564024406
129	0.2558833755
130	0.255353814
131	0.2549079253
132	0.2543974295
133	0.2537918091
134	0.2533326511
135	0.2528806369
136	0.2523710968
137	0.2516004809
138	0.2507334245
139	0.2503502158
140	0.24940309
141	0.2490692452
142	0.2484446375
143	0.2478796863
144	0.2475559618
145	0.2472136731
146	0.2467471834
147	0.2463727947
148	0.2459441073
149	0.2457151315
150	0.2451199134
151	0.244702537
152	0.2440907128
153	0.2437933231
154	0.2434732488
155	0.2427516992
156	0.2423851749
157	0.2420353194
158	0.2416885031
159	0.2411962114
160	0.2408572281
161	0.2402541613
162	0.2399764012
163	0.2396042371
164	0.2390253275
165	0.2387615885
166	0.2380888389
167	0.2376291953
168	0.2373440094
169	0.2370757587
170	0.2367937531
171	0.2364440542
172	0.2361034103
173	0.2356523518
174	0.2354501023
175	0.2350866173
176	0.2347945854
177	0.2345773434
178	0.2341177312
179	0.2338744052
180	0.2331291684
181	0.2326446314
182	0.2318512684
183	0.2316300472
184	0.2314796213
185	0.2311970987
186	0.2309779612
187	0.2307064989
188	0.2304341436
189	0.2302057317
190	0.2300379634
191	0.2297755874
192	0.229496668
193	0.2292148347
194	0.2289827883
195	0.2288344146
196	0.2286497425
197	0.2284851074
198	0.2282249404
199	0.2280177248
200	0.2274840431
201	0.2266049865
202	0.2263786739
203	0.2262256787
204	0.2259612504
205	0.2257761867
206	0.2256063191
207	0.2253554734
208	0.225132576
209	0.2249499405
210	0.2246982645
211	0.2243616938
212	0.2241348173
213	0.2238330254
214	0.2234258632
215	0.2232483662
216	0.2230673913
217	0.2227949264
218	0.2226892742
219	0.2225246704
220	0.2221383755
221	0.2219957669
222	0.2217640652
223	0.2215790641
224	0.2214044966
225	0.2211686591
226	0.2208366786
227	0.220673986
228	0.22049851
229	0.2202857956
230	0.2201336933
231	0.2197785583
232	0.2196235892
233	0.2194624633
234	0.2193241315
235	0.219208876
236	0.2189421761
237	0.2187068242
238	0.2186028482
239	0.218470407
240	0.2182828993
241	0.2180743521
242	0.2178515644
243	0.2176669393
244	0.2174836615
245	0.217403968
246	0.2169625441
247	0.2167946817
248	0.2166258324
249	0.216451876
250	0.2163209073
251	0.2161931502
252	0.2160564947
253	0.2159159071
254	0.2157812412
255	0.215572224
256	0.2151839709
257	0.2150058159
258	0.2148681421
259	0.214731001
260	0.2145701571
261	0.2144092035
262	0.2142573363
263	0.2141007222
264	0.2139818164
265	0.2138575998
266	0.2136259608
267	0.2135374159
268	0.2131893777
269	0.2130305077
270	0.212955796
271	0.2128954032
272	0.2127188618
273	0.2126269957
274	0.2124793427
275	0.2123378777
276	0.2119897768
277	0.2118788608
278	0.2116945803
279	0.2115966672
280	0.2114440793
281	0.2112777209
282	0.2111086366
283	0.2109213952
284	0.2108590598
285	0.210693234
286	0.2106016186
287	0.2100106147
288	0.2098649669
289	0.2096893499
290	0.2095643186
291	0.2094569901
292	0.2093331026
293	0.2091946142
294	0.2090989256
295	0.2087185525
296	0.2085708054
297	0.2084179825
298	0.2083167481
299	0.2082036075
300	0.2081006499
301	0.2080106637
302	0.207919487
303	0.2076951483
304	0.2075833863
305	0.2074564595
306	0.2073422849
307	0.207172104
308	0.2070322056
309	0.2069181094
310	0.2068276376
311	0.2067575318
312	0.2065420288
313	0.2064112481
314	0.2063204787
315	0.20626524
316	0.205759773
317	0.2056579433
318	0.2055487035
319	0.2054627749
320	0.2053044376
321	0.2052177414
322	0.2050999322
323	0.2049939197
324	0.2048905704
325	0.2048349557
326	0.2047543066
327	0.2046061365
328	0.2044583894
329	0.204283493
330	0.2040816665
331	0.2039128486
332	0.2038611817
333	0.203769958
334	0.2036027536
335	0.2034519517
336	0.203310612
337	0.2032456604
338	0.2031732359
339	0.2031003885
340	0.2030152746
341	0.202937649
342	0.2028466759
343	0.2026939627
344	0.2024743865
345	0.2023480707
346	0.2022452697
347	0.2021740986
348	0.2020988386
349	0.2019663033
350	0.2018725887
351	0.20172398
352	0.2016372211
353	0.2015289056
